ID,Posted at,Screen name,Text
451900781386797056,2014-04-04 01:55:16 +0000,genschaffner,@dsantam why little stuff again? Grrrr @minniedw @meau and all those MARC records for single item MSS show up in ArchiveGrid too #radtech14
451900332184846337,2014-04-04 01:53:29 +0000,cliotropic,"RT @tjowens: Met Richard Pearce-Moses, who said ""When I grow up I want to be you"" In further conversation it became clear he wants to be @edsu #radtech14"
451895625207271424,2014-04-04 01:34:47 +0000,davidblowe,RT @JudyRuttenberg: #radtech14 Q&A: transcriptions & captioning for accessibility as transformative fair use: very important issue!
451893790169907200,2014-04-04 01:27:30 +0000,forthefatlady,"RT @K8_Bowers: ""Archivists work at steam shovel/dump truck level, not with tweezers"" @tjowens #radtech14"
451892393101766656,2014-04-04 01:21:56 +0000,timathom,"RT @maryelings: @tjowens archivists work at steam shovel level, let other people come in with tweezers #radtech14"
451889955003199488,2014-04-04 01:12:15 +0000,tjowens,"Met Richard Pearce-Moses, who said ""When I grow up I want to be you"" In further conversation it became clear he wants to be @edsu #radtech14"
451889887365455872,2014-04-04 01:11:59 +0000,SierraAndrea,"RT @K8_Bowers: ""Archivists work at steam shovel/dump truck level, not with tweezers"" @tjowens #radtech14"
451881419938095104,2014-04-04 00:38:20 +0000,cliotropic,RT @genschaffner: Listening to .@dancohen I'm struck that increased scale of collaboration increases diverse depth of shared collection #radtech14 #printscale
451881383858696192,2014-04-04 00:38:12 +0000,cliotropic,RT @genschaffner: thinking about all the historians who care deeply about the digital transformation of finding aids #radtech14 .@dancohen
451879189176926208,2014-04-04 00:29:28 +0000,genschaffner,MT @mike_rush Finding aids can be great data or great documents or crap data or crap documents. #radtech14
451877746080509952,2014-04-04 00:23:44 +0000,genschaffner,"RT @mike_rush: If descriptive practices fail to expose archivists' role in shaping archives, it is little wonder people fail to see our value. #radtech14"
451876285783244800,2014-04-04 00:17:56 +0000,genschaffner,RT @cliotropic: .@tjowens mentions the Zotero Commons project to allow zotero-based archival photos to be credited to researchers.  #radtech14
451876278715830273,2014-04-04 00:17:55 +0000,ElyseRants,"RT @K8_Bowers: ""Archivists work at steam shovel/dump truck level, not with tweezers"" @tjowens #radtech14"
451876265105313792,2014-04-04 00:17:51 +0000,genschaffner,RT @cliotropic: .@tjowens says that crediting this work to “archivists” misrepresents the actual labor of archival description. #radtech14
451875622789210112,2014-04-04 00:15:18 +0000,nataliembaur,"RT @K8_Bowers: ""Archivists work at steam shovel/dump truck level, not with tweezers"" @tjowens #radtech14"
451875608973565952,2014-04-04 00:15:15 +0000,genschaffner,"RT @mike_rush: Dump trucking vs. tweezers. Nature vs. about-ness. It all flows from appraisal, and we must be open to reappraisal. #radtech14"
451875268157001729,2014-04-04 00:13:54 +0000,Salticidae,"RT @K8_Bowers: ""Archivists work at steam shovel/dump truck level, not with tweezers"" @tjowens #radtech14"
451872843878645760,2014-04-04 00:04:16 +0000,genschaffner,RT @meau: I think it's also worth mentioning that copyrighting metadata is contrary to the purpose of copyright. #radtech14
451872628320780288,2014-04-04 00:03:24 +0000,genschaffner,RT @maryelings: Before google books we didn't think scanning millions of books was possible - we need at scale digitization for #archives #radtech14
451872424678932480,2014-04-04 00:02:36 +0000,genschaffner,"RT @mike_rush: My hearing aid battery is dead, so I just heard “donor agreements” as “stoner agreements”.  Much easier to negotiate. #radtech14"
